Date,County,Temperature,Precipitation,Region
2010-11,Siskiyou County,38,5.4,North
2010-11,Solano County,53.6,2.22,North
2010-11,Sonoma County,52,5.21,North
2010-11,Stanislaus County,51.9,1.46,Central
2010-11,Sutter County,53.6,2.24,North
2010-11,Tehama County,48.4,4.54,North
2010-11,Trinity County,42.2,7.85,North
2010-11,Tulare County,44.3,1.93,Central
2010-11,Tuolumne County,40.5,4.33,Central
2010-11,Ventura County,51.6,1.69,South
2010-11,Yolo County,53.4,2.24,North
2010-11,Yuba County,50.8,4.57,North
2010-12,Alameda County,49.8,5.41,North
2010-12,Alpine County,32.8,12.03,North
2010-12,Amador County,44.9,12.33,Central
2010-12,Butte County,46.2,13.34,North
2010-12,Calaveras County,45.1,12.24,Central
2010-12,Colusa County,47.7,7.06,North
2010-12,Contra Costa County,49.2,5.76,South
2010-12,Del Norte County,43,20.33,North
2010-12,El Dorado County,41.3,15.04,North
2010-12,Fresno County,42.8,10.14,Central
2010-12,Glenn County,46.4,6.4,North
2010-12,Humboldt County,44.8,17.54,North
2010-12,Imperial County,59,0.73,South
2010-12,Inyo County,45,3.75,Central
2010-12,Kern County,48.2,5.51,Central
2010-12,Kings County,50.2,4.74,Central
2010-12,Lake County,44.1,11.76,North
2010-12,Lassen County,33.8,5.28,North
2010-12,Los Angeles County,51.3,9.77,South
2010-12,Madera County,43.6,10.25,Central
2010-12,Marin County,50.4,10.63,North
2010-12,Mariposa County,42,12.21,Central
2010-12,Mendocino County,46.4,13.18,North
2010-12,Merced County,49.8,3.86,Central
2010-12,Modoc County,32.9,4.62,North
2010-12,Mono County,31.7,6.89,Central
2010-12,Monterey County,50,6.89,Central
2010-12,Napa County,48,9.56,North
2010-12,Nevada County,38.7,17.54,North
2010-12,Orange County,56.7,9.51,South
2010-12,Placer County,40.7,15.49,North
2010-12,Plumas County,34.5,13.12,North
2010-12,Riverside County,54.7,4.31,South
2010-12,Sacramento County,50,5.47,North
2010-12,San Benito County,47.4,5.75,Central
2010-12,San Bernardino County,50.5,3.95,South
2010-12,San Diego County,53.8,7.53,South
2010-12,San Francisco County,51.5,8.24,North
2010-12,San Joaquin County,50.3,4.58,Central
2010-12,San Luis Obispo County,50.3,10.12,Central
2010-12,San Mateo County,51.1,8.42,North
2010-12,Santa Barbara County,51.6,10.3,South
2010-12,Santa Clara County,48.7,6.55,North
2010-12,Santa Cruz County,50.4,10.16,North
2010-12,Shasta County,40,11.26,North
2010-12,Sierra County,34.3,15.55,North
2010-12,Siskiyou County,35.6,10.04,North
2010-12,Solano County,49.6,6.22,North
2010-12,Sonoma County,49.1,12.04,North
2010-12,Stanislaus County,49.3,4.31,Central
2010-12,Sutter County,50,5.8,North
2010-12,Tehama County,43.4,9.5,North
2010-12,Trinity County,39.9,15.42,North
2010-12,Tulare County,41.7,13.19,Central
2010-12,Tuolumne County,37.6,15.29,Central
2010-12,Ventura County,49.6,10.98,South
2010-12,Yolo County,49.4,6.48,North
2010-12,Yuba County,46.9,12.32,North
2011-01,Alameda County,48.2,1.04,North
2011-01,Alpine County,33.8,1.69,North
2011-01,Amador County,45,2.89,Central
2011-01,Butte County,45.4,2.21,North
2011-01,Calaveras County,44.8,2.9,Central
2011-01,Colusa County,46.8,2.14,North
2011-01,Contra Costa County,47.5,1.28,South
2011-01,Del Norte County,43.6,4.73,North
2011-01,El Dorado County,42.8,2.39,North
2011-01,Fresno County,41.2,2.07,Central
2011-01,Glenn County,46.1,1.7,North
2011-01,Humboldt County,45.4,2.69,North
2011-01,Imperial County,57,0.01,South
2011-01,Inyo County,44.1,0.21,Central
2011-01,Kern County,45.9,0.56,Central
2011-01,Kings County,45.4,1.22,Central
2011-01,Lake County,46.6,3.14,North
2011-01,Lassen County,33.3,0.55,North
2011-01,Los Angeles County,51.5,0.67,South
2011-01,Madera County,42.1,2.23,Central
2011-01,Marin County,49.3,2.18,North
2011-01,Mariposa County,42.2,2.71,Central
2011-01,Mendocino County,46.6,2.77,North
2011-01,Merced County,45.2,1.24,Central
2011-01,Modoc County,32.7,0.78,North
2011-01,Mono County,31.1,0.75,Central
2011-01,Monterey County,50.3,2.6,Central
2011-01,Napa County,47.4,2.17,North
2011-01,Nevada County,40.5,2.16,North
2011-01,Orange County,58.3,0.8,South
2011-01,Placer County,41.6,2.04,North
2011-01,Plumas County,34.6,1.22,North
2011-01,Riverside County,53.7,0.27,South
2011-01,Sacramento County,46.1,1.54,North
2011-01,San Benito County,48.1,2.44,Central
2011-01,San Bernardino County,49.2,0.13,South
2011-01,San Diego County,53.7,0.96,South
2011-01,San Francisco County,50.6,1.45,North
2011-01,San Joaquin County,46,1.02,Central
2011-01,San Luis Obispo County,50,1.88,Central
2011-01,San Mateo County,50.8,1.64,North
2011-01,Santa Barbara County,52,1.24,South
2011-01,Santa Clara County,49,1.85,North
2011-01,Santa Cruz County,50.8,2.37,North
2011-01,Shasta County,42.6,1.65,North
2011-01,Sierra County,35.3,1.52,North
2011-01,Siskiyou County,37.1,1.9,North
2011-01,Solano County,46.8,1.52,North
2011-01,Sonoma County,48.6,2.4,North
2011-01,Stanislaus County,45.5,1.31,Central
2011-01,Sutter County,46.3,1.49,North
2011-01,Tehama County,45.8,1.79,North
2011-01,Trinity County,41.3,2.51,North
2011-01,Tulare County,39.9,1.78,Central
2011-01,Tuolumne County,38,3.07,Central
2011-01,Ventura County,50,0.86,South
2011-01,Yolo County,46.4,1.76,North
2011-01,Yuba County,46.4,2.12,North
2011-02,Alameda County,48,3.47,North
2011-02,Alpine County,27.6,6.5,North
2011-02,Amador County,43.3,6.73,Central
2011-02,Butte County,45.3,8.18,North
2011-02,Calaveras County,43.6,6.44,Central
2011-02,Colusa County,47.5,5.62,North
2011-02,Contra Costa County,48.6,3.75,South
2011-02,Del Norte County,41,7.06,North
2011-02,El Dorado County,38.8,7.41,North
2011-02,Fresno County,40.5,3.13,Central
2011-02,Glenn County,46.4,3.95,North
2011-02,Humboldt County,42.3,6.49,North
2011-02,Imperial County,55.7,0.95,South
2011-02,Inyo County,43.2,0.62,Central
2011-02,Kern County,45.8,0.97,Central
2011-02,Kings County,48.6,1.04,Central
2011-02,Lake County,43.5,7.4,North
2011-02,Lassen County,30.4,2.76,North
2011-02,Los Angeles County,47.9,2.67,South
2011-02,Madera County,41,3.54,Central
2011-02,Marin County,48.5,5.9,North
2011-02,Mariposa County,39.8,5.54,Central
2011-02,Mendocino County,43.1,6.28,North
2011-02,Merced County,48.3,2.01,Central
2011-02,Modoc County,30.4,1.82,North
2011-02,Mono County,27.4,2.46,Central
2011-02,Monterey County,47.1,4.7,Central
2011-02,Napa County,47.3,6.3,North
2011-02,Nevada County,36.8,7.13,North
2011-02,Orange County,54.1,2.21,South
2011-02,Placer County,38.5,6.59,North
2011-02,Plumas County,31.7,7.99,North
2011-02,Riverside County,51.4,2.01,South
2011-02,Sacramento County,48.6,3.89,North
2011-02,San Benito County,45.1,4.02,Central
2011-02,San Bernardino County,48.3,0.91,South
2011-02,San Diego County,49.6,3.73,South
2011-02,San Francisco County,50.4,5.09,North
2011-02,San Joaquin County,48.5,2.79,Central
2011-02,San Luis Obispo County,46.7,2.82,Central
2011-02,San Mateo County,49,5.94,North
2011-02,Santa Barbara County,47,3.63,South
2011-02,Santa Clara County,46.5,4.76,North
2011-02,Santa Cruz County,47.7,7.1,North
2011-02,Shasta County,40.3,5.55,North
2011-02,Sierra County,31.2,7.61,North
2011-02,Siskiyou County,34.5,3.61,North
2011-02,Solano County,48.9,4,North
2011-02,Sonoma County,47,6.78,North
2011-02,Stanislaus County,47.2,2.77,Central
2011-02,Sutter County,48.9,4.11,North
2011-02,Tehama County,44.3,4.67,North
2011-02,Trinity County,38.3,5.27,North
2011-02,Tulare County,39.2,3.16,Central
2011-02,Tuolumne County,34.5,7.37,Central
2011-02,Ventura County,45,3.54,South
2011-02,Yolo County,48.5,4.46,North
2011-02,Yuba County,46.5,6.85,North
2011-03,Alameda County,51.7,5.65,North
2011-03,Alpine County,33,11.59,North
2011-03,Amador County,46.4,11.73,Central
2011-03,Butte County,48.1,13.31,North
2011-03,Calaveras County,46.6,12.04,Central
2011-03,Colusa County,50.2,6.96,North
2011-03,Contra Costa County,51.9,6.39,South
2011-03,Del Norte County,43.3,20.31,North
2011-03,El Dorado County,41.7,16.7,North
2011-03,Fresno County,45.1,6.43,Central
2011-03,Glenn County,48.4,7.96,North
2011-03,Humboldt County,45.9,17.65,North
2011-03,Imperial County,66.2,0.03,South
2011-03,Inyo County,50.8,0.95,Central
2011-03,Kern County,51.7,2.57,Central
2011-03,Kings County,54.2,2.47,Central
2011-03,Lake County,44.8,13.49,North
2011-03,Lassen County,35.9,4.41,North
2011-03,Los Angeles County,53.6,4.57,South
2011-03,Madera County,45.5,7.9,Central
2011-03,Marin County,50.6,11.83,North
2011-03,Mariposa County,43.5,10.93,Central
2011-03,Mendocino County,46.1,16.51,North
2011-03,Merced County,53.3,3.72,Central
2011-03,Modoc County,35.5,3.56,North
2011-03,Mono County,33,4.71,Central
2011-03,Monterey County,51.4,7.09,Central
2011-03,Napa County,50.2,11.4,North
2011-03,Nevada County,39.2,17.28,North
2011-03,Orange County,57.8,2.56,South
2011-03,Placer County,41.6,16.05,North
2011-03,Plumas County,35.3,11.87,North
2011-03,Riverside County,59.9,0.78,South
2011-03,Sacramento County,53.1,6.74,North
2011-03,San Benito County,49.6,6.21,Central
2011-03,San Bernardino County,57.1,0.53,South
2011-03,San Diego County,55.4,1.95,South
2011-03,San Francisco County,53,8.11,North
2011-03,San Joaquin County,53.8,4.04,Central
2011-03,San Luis Obispo County,51.4,5.74,Central
2011-03,San Mateo County,52,8.42,North
2011-03,Santa Barbara County,51.6,6.69,South
2011-03,Santa Clara County,50.1,7.6,North
2011-03,Santa Cruz County,51.8,10.34,North
2011-03,Shasta County,42.3,12.81,North
2011-03,Sierra County,35,15.44,North
2011-03,Siskiyou County,37.3,10.72,North
2011-03,Solano County,52.9,6.88,North
2011-03,Sonoma County,49.4,13.06,North
2011-03,Stanislaus County,52.4,4.25,Central
2011-03,Sutter County,53,6.59,North
2011-03,Tehama County,45.8,9.91,North
2011-03,Trinity County,40.7,17.27,North
2011-03,Tulare County,43.6,6.27,Central
2011-03,Tuolumne County,37.9,14.69,Central
2011-03,Ventura County,49.7,7.38,South
2011-03,Yolo County,52.3,7.48,North
2011-03,Yuba County,48.9,12.93,North
2011-04,Alameda County,54.7,0.26,North
2011-04,Alpine County,36.4,2.35,North
2011-04,Amador County,51,1.72,Central
2011-04,Butte County,53.9,1.25,North
2011-04,Calaveras County,51.8,1.15,Central
2011-04,Colusa County,56.6,0.84,North
2011-04,Contra Costa County,55.7,0.32,South
2011-04,Del Norte County,44.9,8.06,North
2011-04,El Dorado County,46.4,2.63,North
2011-04,Fresno County,50,0.78,Central
2011-04,Glenn County,54.2,0.41,North
2011-04,Humboldt County,47.5,5.47,North
2011-04,Imperial County,71.6,0.02,South
2011-04,Inyo County,56.6,0.08,Central
2011-04,Kern County,57.2,0.21,Central
2011-04,Kings County,59.9,0.23,Central
2011-04,Lake County,49.9,1.13,North
2011-04,Lassen County,39.6,2.18,North
2011-04,Los Angeles County,57.8,0.12,South
2011-04,Madera County,50.5,0.84,Central
2011-04,Marin County,52.4,0.83,North
2011-04,Mariposa County,48.8,1.01,Central
2011-04,Mendocino County,49,1.79,North
2011-04,Merced County,58.6,0.19,Central
2011-04,Modoc County,38.5,3.3,North
2011-04,Mono County,38.2,0.86,Central
2011-04,Monterey County,54.2,0.46,Central
2011-04,Napa County,55.2,0.43,North
2011-04,Nevada County,44.6,3.06,North
2011-04,Orange County,61.2,0.23,South
2011-04,Placer County,46.4,2.89,North
2011-04,Plumas County,40.2,2.27,North
2011-04,Riverside County,65.2,0.14,South
2011-04,Sacramento County,58.1,0.19,North
2011-04,San Benito County,53.3,0.4,Central
2011-04,San Bernardino County,63,0.14,South
2011-04,San Diego County,59.3,0.37,South
2011-04,San Francisco County,54.5,0.59,North
2011-04,San Joaquin County,58.6,0.2,Central
2011-04,San Luis Obispo County,55.2,0.27,Central
2011-04,San Mateo County,53.3,0.61,North
2011-04,Santa Barbara County,54.8,0.18,South
2011-04,Santa Clara County,53.2,0.33,North
2011-04,Santa Cruz County,53.4,0.67,North
2011-04,Shasta County,47.7,2.72,North
2011-04,Sierra County,39.8,2.58,North
2011-04,Siskiyou County,40.4,3.15,North
2011-04,Solano County,57.6,0.24,North
2011-04,Sonoma County,52.8,0.71,North
2011-04,Stanislaus County,57.3,0.16,Central
2011-04,Sutter County,59.1,0.45,North
2011-04,Tehama County,51.5,1.44,North
2011-04,Trinity County,45,4.22,North
2011-04,Tulare County,48.9,0.8,Central
2011-04,Tuolumne County,42.8,1.94,Central
2011-04,Ventura County,53.3,0.14,South
2011-04,Yolo County,58.2,0.25,North
2011-04,Yuba County,54.7,1.44,North
2011-05,Alameda County,57.6,0.81,North
2011-05,Alpine County,40.6,2.61,North
2011-05,Amador County,55,2.85,Central
2011-05,Butte County,58,4.77,North
2011-05,Calaveras County,55.2,2.63,Central
2011-05,Colusa County,61.3,1.63,North
2011-05,Contra Costa County,59,0.83,South
2011-05,Del Norte County,50.2,4.9,North
2011-05,El Dorado County,50.6,3.73,North
2011-05,Fresno County,54.2,1.35,Central
2011-05,Glenn County,58.2,1.84,North
2011-05,Humboldt County,52.6,2.52,North
2011-05,Imperial County,74.9,0.01,South
2011-05,Inyo County,61.3,0.25,Central
2011-05,Kern County,61.5,0.52,Central
2011-05,Kings County,64.2,0.3,Central
2011-05,Lake County,55,2.62,North
2011-05,Lassen County,45.6,2.41,North
2011-05,Los Angeles County,60.4,0.45,South
2011-05,Madera County,54.6,1.48,Central
2011-05,Marin County,53.1,1.73,North
2011-05,Mariposa County,52.7,2.44,Central
2011-05,Mendocino County,52.7,2.66,North
2011-05,Merced County,62.2,0.61,Central
2011-05,Modoc County,45.2,2.02,North
2011-05,Mono County,42.7,0.78,Central
2011-05,Monterey County,57.2,1.12,Central
2011-05,Napa County,58.3,1.96,North
2011-05,Nevada County,49.2,3.49,North
2011-05,Orange County,62.7,0.74,South
2011-05,Placer County,50.7,3.52,North
2011-05,Plumas County,45.7,4.01,North
2011-05,Riverside County,68.6,0.17,South
2011-05,Sacramento County,61.6,1.43,North
2011-05,San Benito County,57.9,0.82,Central
2011-05,San Bernardino County,67.6,0.18,South
2011-05,San Diego County,61.3,0.78,South
2011-05,San Francisco County,55.5,1.19,North
2011-05,San Joaquin County,61.7,0.86,Central
2011-05,San Luis Obispo County,57.6,0.97,Central
2011-05,San Mateo County,54.9,1.14,North
2011-05,Santa Barbara County,56.5,0.61,South
2011-05,Santa Clara County,56.6,1.08,North
2011-05,Santa Cruz County,55.6,1.62,North
2011-05,Shasta County,53,3.84,North
2011-05,Sierra County,44.9,3.2,North
2011-05,Siskiyou County,46.4,2.66,North
2011-05,Solano County,60.8,1.03,North
2011-05,Sonoma County,55.4,2.61,North
2011-05,Stanislaus County,60.8,0.79,Central
2011-05,Sutter County,63.3,1.97,North
2011-05,Tehama County,55.9,3.14,North
2011-05,Trinity County,50,3.31,North
2011-05,Tulare County,53,1.37,Central
2011-05,Tuolumne County,46.5,3.22,Central
2011-05,Ventura County,56.2,0.72,South
2011-05,Yolo County,61.9,1.38,North
2011-05,Yuba County,59.2,3.17,North
2011-06,Alameda County,64.2,0.71,North
2011-06,Alpine County,50,3.42,North
2011-06,Amador County,63.9,2.12,Central
2011-06,Butte County,67,2.76,North
2011-06,Calaveras County,64.6,1.97,Central
2011-06,Colusa County,70.6,1.52,North
2011-06,Contra Costa County,65.7,0.67,South
2011-06,Del Norte County,58.2,1.6,North
2011-06,El Dorado County,59.4,2.82,North
2011-06,Fresno County,63.8,0.87,Central
2011-06,Glenn County,68.2,1.96,North
2011-06,Humboldt County,59.9,1.76,North
2011-06,Imperial County,86,0,South
2011-06,Inyo County,73.4,0.03,Central
2011-06,Kern County,71.7,0.13,Central
2011-06,Kings County,73.1,0.3,Central
2011-06,Lake County,64.3,1.73,North
2011-06,Lassen County,55.9,1.84,North
2011-06,Los Angeles County,67.1,0.05,South
2011-06,Madera County,63.7,1.2,Central
2011-06,Marin County,57.4,1.24,North
2011-06,Mariposa County,61.6,1.81,Central
2011-06,Mendocino County,60.2,1.69,North
2011-06,Merced County,70.8,0.42,Central
2011-06,Modoc County,54.8,0.93,North
2011-06,Mono County,53.4,1.25,Central
2011-06,Monterey County,63.7,0.36,Central
2011-06,Napa County,65.7,1.09,North
2011-06,Nevada County,58.6,3.05,North
2011-06,Orange County,66.2,0.1,South
2011-06,Placer County,60,2.71,North
2011-06,Plumas County,55.6,3.48,North
2011-06,Riverside County,78.6,0.04,South
2011-06,Sacramento County,69.4,0.94,North
2011-06,San Benito County,65.6,0.33,Central
2011-06,San Bernardino County,79,0,South
2011-06,San Diego County,68.2,0.05,South
2011-06,San Francisco County,59,1.02,North
2011-06,San Joaquin County,69.3,0.61,Central
2011-06,San Luis Obispo County,65,0.25,Central
2011-06,San Mateo County,59.2,1.07,North
2011-06,Santa Barbara County,61.7,0.27,South
2011-06,Santa Clara County,63,0.76,North
2011-06,Santa Cruz County,59.9,1.01,North
2011-06,Shasta County,63,2.21,North
2011-06,Sierra County,54.3,3.37,North
2011-06,Siskiyou County,55.9,1.66,North
2011-06,Solano County,67.4,0.77,North
2011-06,Sonoma County,60.8,1.38,North
2011-06,Stanislaus County,69.2,0.5,Central
2011-06,Sutter County,71.6,1.1,North
2011-06,Tehama County,66.4,2,North
2011-06,Trinity County,60.1,2.76,North
2011-06,Tulare County,62.8,0.59,Central
2011-06,Tuolumne County,56.2,3.06,Central
2011-06,Ventura County,61.7,0.18,South
2011-06,Yolo County,69.8,0.95,North
2011-06,Yuba County,67.9,1.92,North
2011-07,Alameda County,69.1,0.01,North
2011-07,Alpine County,58.7,0.75,North
2011-07,Amador County,71.6,0.07,Central
2011-07,Butte County,74.4,0,North
2011-07,Calaveras County,72.6,0.03,Central
2011-07,Colusa County,76.2,0,North
2011-07,Contra Costa County,70.2,0.01,South
2011-07,Del Norte County,64.7,0.52,North
2011-07,El Dorado County,68,0.05,North
2011-07,Fresno County,71.5,0.27,Central
2011-07,Glenn County,75.4,0,North
2011-07,Humboldt County,65.8,0.22,North
2011-07,Imperial County,92.4,0.38,South
2011-07,Inyo County,80.5,0.39,Central
2011-07,Kern County,79.4,0.1,Central
2011-07,Kings County,80.1,0,Central
2011-07,Lake County,72.1,0.01,North
2011-07,Lassen County,64.8,0.02,North
2011-07,Los Angeles County,74.7,0.1,South
2011-07,Madera County,72.2,0.1,Central
2011-07,Marin County,60.4,0.01,North
2011-07,Mariposa County,70.7,0.02,Central
2011-07,Mendocino County,67,0.06,North
2011-07,Merced County,77,0,Central
2011-07,Modoc County,64.3,0.04,North
2011-07,Mono County,62,0.52,Central
2011-07,Monterey County,69,0.01,Central
2011-07,Napa County,71.2,0,North
2011-07,Nevada County,66.8,0.11,North
2011-07,Orange County,72.7,0.04,South
2011-07,Placer County,67.9,0.09,North
2011-07,Plumas County,64,0.06,North
2011-07,Riverside County,85.4,0.47,South
2011-07,Sacramento County,75.1,0,North
2011-07,San Benito County,72.4,0,Central
2011-07,San Bernardino County,85.8,0.51,South
2011-07,San Diego County,75.2,0.25,South
2011-07,San Francisco County,61.3,0.03,North
2011-07,San Joaquin County,74.7,0,Central
2011-07,San Luis Obispo County,71.2,0.01,Central
2011-07,San Mateo County,62.7,0.03,North
2011-07,Santa Barbara County,68.4,0.03,South
2011-07,Santa Clara County,69.1,0,North
2011-07,Santa Cruz County,64.5,0.01,North
2011-07,Shasta County,71.5,0.08,North
2011-07,Sierra County,62.6,0.18,North
2011-07,Siskiyou County,64.8,0.52,North
2011-07,Solano County,72.3,0,North
2011-07,Sonoma County,65.1,0.02,North
2011-07,Stanislaus County,75.7,0,Central
2011-07,Sutter County,76.9,0,North
2011-07,Tehama County,74.4,0.02,North
2011-07,Trinity County,67.9,0.21,North
2011-07,Tulare County,71.2,0.34,Central
2011-07,Tuolumne County,64.7,0.2,Central
2011-07,Ventura County,70.1,0.01,South
2011-07,Yolo County,75.5,0,North
2011-07,Yuba County,75,0,North
2011-08,Alameda County,69,0,North
2011-08,Alpine County,60.1,0.11,North
2011-08,Amador County,72.8,0.01,Central
2011-08,Butte County,75,0,North
2011-08,Calaveras County,73.5,0,Central
2011-08,Colusa County,75.6,0,North
2011-08,Contra Costa County,70.7,0,South
2011-08,Del Norte County,66.8,0.07,North
2011-08,El Dorado County,69.5,0.01,North
2011-08,Fresno County,72.2,0.07,Central
2011-08,Glenn County,75.6,0,North
2011-08,Humboldt County,66.7,0.06,North
2011-08,Imperial County,95.1,0.02,South
2011-08,Inyo County,81.2,0.48,Central
2011-08,Kern County,79.9,0.02,Central
2011-08,Kings County,79.7,0.01,Central
2011-08,Lake County,72.3,0,North
2011-08,Lassen County,65.6,0,North
2011-08,Los Angeles County,76,0,South
2011-08,Madera County,72.7,0.04,Central
2011-08,Marin County,60.6,0.02,North
2011-08,Mariposa County,71.6,0.03,Central
2011-08,Mendocino County,68.2,0.01,North
2011-08,Merced County,76.6,0,Central
2011-08,Modoc County,65.9,0.02,North
2011-08,Mono County,62.8,0.18,Central
2011-08,Monterey County,68.3,0,Central
2011-08,Napa County,70.6,0,North
2011-08,Nevada County,68.3,0.02,North
2011-08,Orange County,73.2,0.05,South
2011-08,Placer County,69.3,0.03,North
2011-08,Plumas County,64.4,0,North
2011-08,Riverside County,87.7,0.13,South
2011-08,Sacramento County,75.1,0,North
2011-08,San Benito County,71.6,0,Central
2011-08,San Bernardino County,87.4,0.3,South
2011-08,San Diego County,76.7,0.12,South
2011-08,San Francisco County,61,0.02,North
2011-08,San Joaquin County,74.9,0,Central
2011-08,San Luis Obispo County,71.2,0.01,Central
2011-08,San Mateo County,62.6,0.01,North
2011-08,Santa Barbara County,68.2,0,South
2011-08,Santa Clara County,68.9,0,North
2011-08,Santa Cruz County,63.6,0.01,North
2011-08,Shasta County,72.5,0,North
2011-08,Sierra County,63.4,0.02,North
2011-08,Siskiyou County,67,0.02,North
2011-08,Solano County,71.7,0,North
2011-08,Sonoma County,65.4,0,North
2011-08,Stanislaus County,75.4,0,Central
2011-08,Sutter County,76.3,0,North
2011-08,Tehama County,75.2,0,North
2011-08,Trinity County,69.5,0.01,North
2011-08,Tulare County,71.6,0.25,Central
2011-08,Tuolumne County,66.2,0.06,Central
2011-08,Ventura County,70.6,0.01,South
2011-08,Yolo County,74.6,0,North
2011-08,Yuba County,75.9,0,North
2011-09,Alameda County,70.1,0,North
2011-09,Alpine County,57.8,1.17,North
2011-09,Amador County,72,0.39,Central
2011-09,Butte County,74.6,0.14,North
2011-09,Calaveras County,72.8,0.2,Central
2011-09,Colusa County,75.5,0.04,North
2011-09,Contra Costa County,71.6,0.01,South
2011-09,Del Norte County,64.2,0.29,North
2011-09,El Dorado County,68.2,0.41,North
2011-09,Fresno County,69.7,0.15,Central
2011-09,Glenn County,75.3,0.06,North
2011-09,Humboldt County,65.6,0.34,North
2011-09,Imperial County,88.5,0.27,South
2011-09,Inyo County,75.8,0.18,Central
2011-09,Kern County,76.2,0.05,Central
2011-09,Kings County,77.8,0.01,Central
2011-09,Lake County,71.6,0.02,North
2011-09,Lassen County,62.8,0.23,North
